number,filename,State
0,wav\1-1_L.wav,Normal
1,wav\1-2_L.wav,Abnormal
2,wav\2-1_L.wav,Normal
3,wav\2-2_L.wav,Abnormal
4,wav\3-1_L.wav,Normal
5,wav\3-2_L.wav,Abnormal
6,wav\4-1_L.wav,Normal
7,wav\4-2_L.wav,Abnormal
8,wav\5-1_L.wav,Normal
9,wav\5-2_L.wav,Abnormal
10,wav\6-1_L.wav,Normal
11,wav\6-2_L.wav,Abnormal
12,wav\7-1_l.wav,Normal
13,wav\7-2_L.wav,Abnormal
14,wav\8-1_L.wav,Normal
15,wav\8-2_L.wav,Abnormal
16,wav\9-1_L.wav,Normal
17,wav\9-2_L.wav,Abnormal
18,wav\10-1_L.wav,Normal
19,wav\10-2_L.wav,Abnormal
20,wav\11-1_L.wav,Normal
21,wav\11-2_L.wav,Abnormal
22,wav\12-1_L.wav,Normal
23,wav\12-2_L.wav,Abnormal
24,wav\13-1_L.wav,Normal
25,wav\13-2_L.wav,Abnormal
26,wav\14-1_L.wav,Normal
27,wav\14-2_L.wav,Abnormal
28,wav\15-1_L.wav,Normal
29,wav\15-2_L.wav,Abnormal
30,wav\16-1_L.wav,Normal
31,wav\16-2_L.wav,Abnormal
32,wav\17-1_L.wav,Normal
33,wav\17-2_L.wav,Abnormal
34,wav\18-1_L.wav,Normal
35,wav\18-2_L.wav,Abnormal
36,wav\19-1_L.wav,Normal
37,wav\19-2_L.wav,Abnormal
38,wav\20-1_L.wav,Normal
39,wav\20-2_L.wav,Abnormal
40,wav\21-1_L.wav,Normal
41,wav\21-2_L.wav,Abnormal
42,wav\22-1_L.wav,Normal
43,wav\22-2_L.wav,Abnormal
44,wav\23-1_L.wav,Normal
45,wav\23-2_L.wav,Abnormal
46,wav\24-1_L.wav,Normal
47,wav\24-2_L.wav,Abnormal
48,wav\25-1_L.wav,Normal
49,wav\25-2_L.wav,Abnormal
50,wav\26-1_L.wav,Normal
51,wav\26-2_L.wav,Abnormal
52,wav\27-1_L.wav,Normal
53,wav\27-2_L.wav,Abnormal
54,wav\28-1_L.wav,Normal
55,wav\28-2_L.wav,Abnormal
56,wav\29-1_L.wav,Normal
57,wav\29-2_L.wav,Abnormal
58,wav\30-1_L.wav,Normal
59,wav\30-2_L.wav,Abnormal
60,wav\31-1_L.wav,Normal
61,wav\31-2_L.wav,Abnormal
62,wav\32-1_L.wav,Normal
63,wav\32-2_L.wav,Abnormal
64,wav\33-1_L.wav,Normal
65,wav\33-2_L.wav,Abnormal
66,wav\34-1_L.wav,Normal
67,wav\34-2_L.wav,Abnormal
68,wav\35-1_L.wav,Normal
69,wav\35-2_L.wav,Abnormal
70,wav\36-1_L.wav,Normal
71,wav\36-2_L.wav,Abnormal
72,wav\37-1_L.wav,Normal
73,wav\37-2_L.wav,Abnormal
74,wav\38-1_L.wav,Normal
75,wav\38-2_L.wav,Abnormal
76,wav\39-1_L.wav,Normal
77,wav\39-2_L.wav,Abnormal
78,wav\40-1_L.wav,Normal
79,wav\40-2_L.wav,Abnormal
80,wav\41-1_L.wav,Normal
81,wav\41-2_L.wav,Abnormal
82,wav\42-1_L.wav,Normal
83,wav\42-2_L.wav,Abnormal
84,wav\43-1_L.wav,Normal
85,wav\43-2_L.wav,Abnormal
86,wav\44-1_L.wav,Normal
87,wav\44-2_L.wav,Abnormal
88,wav\45-1_L.wav,Normal
89,wav\45-2_L.wav,Abnormal
90,wav\46-1_L.wav,Normal
91,wav\46-2_L.wav,Abnormal
92,wav\47-1_L.wav,Normal
93,wav\47-2_L.wav,Abnormal
